"","species","year","Apple","Field.Bean","Oilseed.Rape","growth.rate.dif"
"335","Andrena_scotica",2009,1,0,1,-1.37241628881859
"336","Andrena_scotica",2010,1,0,1,-0.630612827777004
"337","Andrena_scotica",2011,1,0,1,0.73797531157112
"338","Andrena_scotica",2012,1,0,1,-0.556221085372203
"339","Andrena_scotica",2013,1,0,1,-0.363600529804659
"340","Andrena_scotica",2014,1,0,1,-0.0163254355731489
"341","Andrena_scotica",2015,1,0,1,2.68944138511859
"342","Andrena_subopaca",1985,0,0,1,0.221633237583339
"343","Andrena_subopaca",1986,0,0,1,0.208426922617519
"344","Andrena_subopaca",1987,0,0,1,0.312663394896944
"345","Andrena_subopaca",1988,0,0,1,0.508441065378103
"346","Andrena_subopaca",1989,0,0,1,-0.316912427134615
"347","Andrena_subopaca",1990,0,0,1,-0.36728089311665
"348","Andrena_subopaca",1991,0,0,1,0.93052040642006
"349","Andrena_subopaca",1992,0,0,1,1.04823339381444
"350","Andrena_subopaca",1993,0,0,1,0.250337227163504
"351","Andrena_subopaca",1994,0,0,1,0.518048103811894
"352","Andrena_subopaca",1995,0,0,1,-0.060808966791775
"353","Andrena_subopaca",1996,0,0,1,-0.971659712958228
"354","Andrena_subopaca",1997,0,0,1,-0.657147675125015
"355","Andrena_subopaca",1998,0,0,1,-1.10331062218688
"356","Andrena_subopaca",1999,0,0,1,0.991564078698173
"357","Andrena_subopaca",2000,0,0,1,0.948071056308932
"358","Andrena_subopaca",2001,0,0,1,-1.44378082343827
"359","Andrena_subopaca",2002,0,0,1,-0.442526799900164
"360","Andrena_subopaca",2003,0,0,1,-0.908926802374026
"361","Andrena_subopaca",2004,0,0,1,0.0240207014429863
"362","Andrena_subopaca",2005,0,0,1,0.848882609037919
"363","Andrena_subopaca",2006,0,0,1,-0.172510683191547
"364","Andrena_subopaca",2007,0,0,1,-0.543971048012197
"365","Andrena_subopaca",2008,0,0,1,2.9457131613055
"366","Andrena_subopaca",2009,0,0,1,-0.0973790948549659
"367","Andrena_subopaca",2010,0,0,1,-1.44015893275234
"368","Andrena_subopaca",2011,0,0,1,-2.23549564506133
"369","Andrena_subopaca",2012,0,0,1,-1.01422407342077
"370","Andrena_subopaca",2013,0,0,1,1.04617071004971
"371","Andrena_subopaca",2014,0,0,1,0.358699807780886
"372","Andrena_subopaca",2015,0,0,1,0.614668324008845
"373","Anthophora_plumipes",1985,0,0,1,-0.260253356712645
"374","Anthophora_plumipes",1986,0,0,1,-0.703365188896448
"375","Anthophora_plumipes",1987,0,0,1,-0.690695362544328
"376","Anthophora_plumipes",1988,0,0,1,0.213371278018505
"377","Anthophora_plumipes",1989,0,0,1,0.253122352973355
"378","Anthophora_plumipes",1990,0,0,1,0.430683989422978
"379","Anthophora_plumipes",1991,0,0,1,0.643751795492192
"380","Anthophora_plumipes",1992,0,0,1,-0.618627031432842
"381","Anthophora_plumipes",1993,0,0,1,0.549440669293112
"382","Anthophora_plumipes",1994,0,0,1,1.55614246669138
"383","Anthophora_plumipes",1995,0,0,1,-2.51186192275889
"384","Anthophora_plumipes",1996,0,0,1,0.084089266626698
"385","Anthophora_plumipes",1997,0,0,1,1.18245589385133
"386","Anthophora_plumipes",1998,0,0,1,-1.89579981593912
"387","Anthophora_plumipes",1999,0,0,1,0.566005774289732
"388","Anthophora_plumipes",2000,0,0,1,0.645615484653255
"389","Anthophora_plumipes",2001,0,0,1,0.637479055350528
"390","Anthophora_plumipes",2002,0,0,1,-0.689155326543491
"391","Anthophora_plumipes",2003,0,0,1,0.0600035877060681
"392","Anthophora_plumipes",2004,0,0,1,-0.126894693689317
"393","Anthophora_plumipes",2005,0,0,1,0.610735683508076
"394","Anthophora_plumipes",2006,0,0,1,-1.57652809877381
"395","Anthophora_plumipes",2007,0,0,1,1.73579709263709
"396","Anthophora_plumipes",2008,0,0,1,-1.65010647264255
"397","Anthophora_plumipes",2009,0,0,1,0.428153204584863
"398","Anthophora_plumipes",2010,0,0,1,-0.755054016527366
"399","Anthophora_plumipes",2011,0,0,1,1.49386730508017
"400","Anthophora_plumipes",2012,0,0,1,-0.183555818028425
"401","Anthophora_plumipes",2013,0,0,1,0.461551498518246
"402","Anthophora_plumipes",2014,0,0,1,-0.372831649266316
"403","Anthophora_plumipes",2015,0,0,1,0.482462355057961
"404","Bombus_hortorum",1985,1,1,1,-0.162896916145845
"405","Bombus_hortorum",1986,1,1,1,-0.360850069879912
"406","Bombus_hortorum",1987,1,1,1,0.434608079831703
"407","Bombus_hortorum",1988,1,1,1,-0.64289144731909
"408","Bombus_hortorum",1989,1,1,1,-1.10764380572637
"409","Bombus_hortorum",1990,1,1,1,-0.865925228672708
"410","Bombus_hortorum",1991,1,1,1,0.922196147715993
"411","Bombus_hortorum",1992,1,1,1,1.88966749822969
"412","Bombus_hortorum",1993,1,1,1,0.00597638229605558
"413","Bombus_hortorum",1994,1,1,1,0.0187503433892477
"414","Bombus_hortorum",1995,1,1,1,0.103171262869787
"415","Bombus_hortorum",1996,1,1,1,-0.533339832943985
"416","Bombus_hortorum",1997,1,1,1,0.0230291948017312
"417","Bombus_hortorum",1998,1,1,1,1.69878813003716
"418","Bombus_hortorum",1999,1,1,1,1.42453089249266
"419","Bombus_hortorum",2000,1,1,1,-2.71158552487784
"420","Bombus_hortorum",2001,1,1,1,0.52075452830461
"421","Bombus_hortorum",2002,1,1,1,0.0297373408077065
"422","Bombus_hortorum",2003,1,1,1,-0.718225029677105
"423","Bombus_hortorum",2004,1,1,1,-0.144674889770863
"424","Bombus_hortorum",2005,1,1,1,0.652255809816839
"425","Bombus_hortorum",2006,1,1,1,-0.457044727213241
"426","Bombus_hortorum",2007,1,1,1,-1.12951498707012
"427","Bombus_hortorum",2008,1,1,1,1.01554583984719
"428","Bombus_hortorum",2009,1,1,1,0.831357494145745
"429","Bombus_hortorum",2010,1,1,1,-0.0431405919487131
"430","Bombus_hortorum",2011,1,1,1,0.28654162586766
"431","Bombus_hortorum",2012,1,1,1,-0.104541208289677
"432","Bombus_hortorum",2013,1,1,1,-0.286504691720132
"433","Bombus_hortorum",2014,1,1,1,-1.95053658959789
"434","Bombus_hortorum",2015,1,1,1,1.36240497039972
"435","Bombus_hypnorum",1985,1,1,1,-0.307894704027719
"436","Bombus_hypnorum",1986,1,1,1,-0.307894704027719
"437","Bombus_hypnorum",1987,1,1,1,-0.307894704027719
"438","Bombus_hypnorum",1988,1,1,1,-0.307894704027719
"439","Bombus_hypnorum",1989,1,1,1,-0.307894704027719
"440","Bombus_hypnorum",1990,1,1,1,-0.307894704027719
"441","Bombus_hypnorum",1991,1,1,1,-0.307894704027719
"442","Bombus_hypnorum",1992,1,1,1,-0.307894704027719
"443","Bombus_hypnorum",1993,1,1,1,-0.307894704027719
"444","Bombus_hypnorum",1994,1,1,1,-0.307894704027719
"445","Bombus_hypnorum",1995,1,1,1,-0.307894704027719
"446","Bombus_hypnorum",1996,1,1,1,-0.307894704027719
