species,year,occupancy ,Apple,Field Bean,Oilseed Rape
Bombus pascuorum,2015,0.797458776,1,1,1
Bombus pratorum,1985,0.506751209,1,1,1
Bombus pratorum,1986,0.508796104,1,1,1
Bombus pratorum,1987,0.573647096,1,1,1
Bombus pratorum,1988,0.536115301,1,1,1
Bombus pratorum,1989,0.54326157,1,1,1
Bombus pratorum,1990,0.486570548,1,1,1
Bombus pratorum,1991,0.476113828,1,1,1
Bombus pratorum,1992,0.58019158,1,1,1
Bombus pratorum,1993,0.578073852,1,1,1
Bombus pratorum,1994,0.539824894,1,1,1
Bombus pratorum,1995,0.590212175,1,1,1
Bombus pratorum,1996,0.614144329,1,1,1
Bombus pratorum,1997,0.654725216,1,1,1
Bombus pratorum,1998,0.696840774,1,1,1
Bombus pratorum,1999,0.699781259,1,1,1
Bombus pratorum,2000,0.742603318,1,1,1
Bombus pratorum,2001,0.694081571,1,1,1
Bombus pratorum,2002,0.727705494,1,1,1
Bombus pratorum,2003,0.697855162,1,1,1
Bombus pratorum,2004,0.654168529,1,1,1
Bombus pratorum,2005,0.631448967,1,1,1
Bombus pratorum,2006,0.681185442,1,1,1
Bombus pratorum,2007,0.606454322,1,1,1
Bombus pratorum,2008,0.596444747,1,1,1
Bombus pratorum,2009,0.644783514,1,1,1
Bombus pratorum,2010,0.62012003,1,1,1
Bombus pratorum,2011,0.655001262,1,1,1
Bombus pratorum,2012,0.624485562,1,1,1
Bombus pratorum,2013,0.711078114,1,1,1
Bombus pratorum,2014,0.712772152,1,1,1
Bombus pratorum,2015,0.728246972,1,1,1
Bombus terrestris,1985,0.518952867,1,1,1
Bombus terrestris,1986,0.497030753,1,1,1
Bombus terrestris,1987,0.527429319,1,1,1
Bombus terrestris,1988,0.506386343,1,1,1
Bombus terrestris,1989,0.478782862,1,1,1
Bombus terrestris,1990,0.396701316,1,1,1
Bombus terrestris,1991,0.483530372,1,1,1
Bombus terrestris,1992,0.507571349,1,1,1
Bombus terrestris,1993,0.551027787,1,1,1
Bombus terrestris,1994,0.569555532,1,1,1
Bombus terrestris,1995,0.510051699,1,1,1
Bombus terrestris,1996,0.572903538,1,1,1
Bombus terrestris,1997,0.64433319,1,1,1
